trace_id,timestamp,fecha,hora,franja,sonda_id,sonda_nombre,isp,asn_origen,ubicacion,tipo_sonda,ip_origen_observada,dst_ip,sitio_web,msm_id,destination_ip_responded_raw,respondio_destino,ultimo_hop_configurado,ultimo_hop_respondiente,hops_respondientes_unicos,rtt_destino_ms,firma_ip,tiene_hop_255,firma_asn,ultimo_asn_antes_destino
trace-180090809-32877-1784858560-1544,2026-07-23 22:02:40,2026-07-23,22:02:40,Nocturna (~22:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,10.0,5.0,3,93.724,192.168.1.1 > 38.25.128.1 > 206.41.108.77 > 190.168.5.91,True,AS61461,AS61461
trace-180090809-6978-1784858770-1545,2026-07-23 22:06:10,2026-07-23,22:06:10,Nocturna (~22:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,11.0,11.0,6,12.859,156.154.123.253 > 200.25.30.134 > 206.223.124.135 > 179.1.65.78 > 190.97.228.254 > 190.168.5.91,False,AS16552 > AS7195 > AS18678 > AS263703 > AS23007,AS23007
trace-180090809-7594-1784858782-1546,2026-07-23 22:06:22,2026-07-23,22:06:22,Nocturna (~22:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,13.0,13.0,10,47.918,200.82.230.155 > 10.1.227.41 > 10.1.231.226 > 38.104.94.189 > 179.1.65.78 > 172.24.1.157 > 172.24.0.126 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS21826 > AS174 > AS18678 > AS263703 > AS23007,AS23007
trace-180090809-1014400-1784858601-1547,2026-07-23 22:03:21,2026-07-23,22:03:21,Nocturna (~22:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.6.19.190,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,16.0,16.0,15,13.971,192.168.122.1 > 172.16.0.1 > 10.27.0.1 > 172.19.0.137 > 172.19.0.130 > 172.19.0.161 > 172.30.101.10 > 154.39.137.1 > 172.31.255.9 > 172.24.1.186 > 172.24.1.186 > 172.24.0.122 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS263703 > AS23007,AS23007
trace-180090809-1014400-1784772203-1548,2026-07-22 22:03:23,2026-07-22,22:03:23,Nocturna (~22:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.6.19.190,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,16.0,16.0,15,13.624,192.168.122.1 > 172.16.0.1 > 10.27.0.1 > 172.19.0.137 > 172.19.0.130 > 172.19.0.161 > 172.30.101.10 > 154.39.137.1 > 172.31.255.9 > 172.24.1.186 > 172.24.1.186 > 172.24.0.122 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS263703 > AS23007,AS23007
trace-180090809-1014400-1784815411-1549,2026-07-23 10:03:31,2026-07-23,10:03:31,Matutina (~10:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.6.19.190,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,16.0,16.0,15,29.382,192.168.122.1 > 172.16.0.1 > 10.27.0.1 > 172.19.0.137 > 172.19.0.130 > 172.19.0.161 > 172.30.101.10 > 154.39.137.1 > 172.31.255.9 > 172.24.1.186 > 172.24.1.186 > 172.24.0.122 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS263703 > AS23007,AS23007
trace-180090809-1003784-1784772210-1550,2026-07-22 22:03:30,2026-07-22,22:03:30,Nocturna (~22:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,15.0,15.0,13,14.471,172.18.0.1 > 10.10.80.1 > 186.24.57.241 > 10.4.36.1 > 10.229.55.97 > 172.24.1.202 > 172.24.1.201 > 172.24.1.186 > 172.24.1.186 > 172.24.0.122 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS6306 > AS263703 > AS23007,AS23007
trace-180090809-1003784-1784815409-1551,2026-07-23 10:03:29,2026-07-23,10:03:29,Matutina (~10:00),1003784,Movistar (Maracay),Telefónica Venezolana,AS6306,"Maracay, Venezuela",Nacional,186.24.57.243,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,15.0,15.0,13,14.328,172.18.0.1 > 10.10.80.1 > 186.24.57.241 > 10.4.36.1 > 10.229.55.97 > 172.24.1.202 > 172.24.1.201 > 172.24.1.186 > 172.24.1.186 > 172.24.0.122 > 172.24.0.133 > 190.97.228.254 > 190.168.5.91,False,AS6306 > AS263703 > AS23007,AS23007
trace-180090809-1010206-1784772157-1552,2026-07-22 22:02:37,2026-07-22,22:02:37,Nocturna (~22:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,13.0,8.0,7,54.241,192.168.3.1 > 99.26.108.1 > 99.167.39.228 > 12.240.214.238 > 32.130.89.3 > 62.115.196.64 > 62.115.177.15 > 190.168.5.91,True,AS7018 > AS1299,AS1299
trace-180090809-1010206-1784815347-1553,2026-07-23 10:02:27,2026-07-23,10:02:27,Matutina (~10:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,190.168.5.91,Biblioteca Digital / Vereda,180090809,True,True,13.0,8.0,6,55.958,192.168.3.1 > 99.26.108.1 > 99.167.39.228 > 12.240.214.238 > 62.115.196.64 > 62.115.177.15 > 190.168.5.91,True,AS7018 > AS1299,AS1299
