execution_id,timestamp,fecha,hora,franja,sonda_id,sonda_nombre,isp,asn_origen,ubicacion,tipo_sonda,ip_origen_observada,src_addr,dst_ip,sitio_web,msm_id,sent,rcvd,estado_ping,alcanzable_icmp,packet_loss_pct,rtt_exec_ms,rtt_avg_ripe_ms,rtt_min_ripe_ms,rtt_max_ripe_ms,n_rtt_validos
ping-180880310-1011292-1782353036-1221,2026-06-24 22:03:56,2026-06-24,22:03:56,Nocturna (~22:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,172.17.0.2,150.185.169.243,Intranet ULA,180880310,3,3,Respuesta completa,True,0.0,68.97282200000001,68.97282200000001,68.845014,69.060865,3
ping-180880310-1011292-1782396229-1222,2026-06-25 10:03:49,2026-06-25,10:03:49,Matutina (~10:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,172.17.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1010206-1782353192-1223,2026-06-24 22:06:32,2026-06-24,22:06:32,Nocturna (~22:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,192.168.3.238,150.185.169.243,Intranet ULA,180880310,3,3,Respuesta completa,True,0.0,51.426216333333336,51.426216333333336,50.328298,52.424659,3
ping-180880310-1010206-1782396387-1224,2026-06-25 10:06:27,2026-06-25,10:06:27,Matutina (~10:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,192.168.3.238,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-6978-1782352915-1225,2026-06-24 22:01:55,2026-06-24,22:01:55,Nocturna (~22:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.243,Intranet ULA,180880310,3,3,Respuesta completa,True,0.0,16.69747866666667,16.69747866666667,13.306266,23.4339,3
ping-180880310-6978-1782396115-1226,2026-06-25 10:01:55,2026-06-25,10:01:55,Matutina (~10:00),6978,Tiggee (Bogotá),Tiggee LLC,AS16552,"Bogotá, Colombia",Internacional,156.154.123.254,156.154.123.254,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1014400-1782353036-1227,2026-06-24 22:03:56,2026-06-24,22:03:56,Nocturna (~22:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.6.19.96,192.168.122.242,150.185.169.243,Intranet ULA,180880310,3,3,Respuesta completa,True,0.0,49.68844766666667,49.68844766666667,49.573498,49.786149,3
ping-180880310-1014400-1782396229-1228,2026-06-25 10:03:49,2026-06-25,10:03:49,Matutina (~10:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.6.19.96,192.168.122.242,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1010818-1782266634-1229,2026-06-23 22:03:54,2026-06-23,22:03:54,Nocturna (~22:00),1010818,CANTV (Caracas),CANTV,AS8048,"Caracas, Venezuela",Nacional,190.205.214.78,192.168.100.13,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1010818-1782309837-1230,2026-06-24 10:03:57,2026-06-24,10:03:57,Matutina (~10:00),1010818,CANTV (Caracas),CANTV,AS8048,"Caracas, Venezuela",Nacional,190.205.214.78,192.168.100.13,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-7594-1782266467-1231,2026-06-23 22:01:07,2026-06-23,22:01:07,Nocturna (~22:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,200.82.230.154,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-7594-1782309677-1232,2026-06-24 10:01:17,2026-06-24,10:01:17,Matutina (~10:00),7594,Inter (Barquisimeto),Inter / Corporación Telemic,AS21826,"Barquisimeto, Venezuela",Nacional,200.82.230.154,200.82.230.154,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1014400-1782266631-1233,2026-06-23 22:03:51,2026-06-23,22:03:51,Nocturna (~22:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.153.16.102,192.168.122.242,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1014400-1782309829-1234,2026-06-24 10:03:49,2026-06-24,10:03:49,Matutina (~10:00),1014400,NetUno (Caracas),NetUno,AS11562,"Caracas, Venezuela",Nacional,190.153.16.102,192.168.122.242,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1011292-1782266624-1235,2026-06-23 22:03:44,2026-06-23,22:03:44,Nocturna (~22:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,172.17.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1011292-1782309828-1236,2026-06-24 10:03:48,2026-06-24,10:03:48,Matutina (~10:00),1011292,Satnet (Quito),Satnet,AS14522,"Quito, Ecuador",Internacional,186.69.158.99,172.17.0.2,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1010206-1782266782-1237,2026-06-23 22:06:22,2026-06-23,22:06:22,Nocturna (~22:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,192.168.3.238,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-1010206-1782309993-1238,2026-06-24 10:06:33,2026-06-24,10:06:33,Matutina (~10:00),1010206,AT&T (Miami),"AT&T Enterprises, LLC",AS7018,"Miami, Estados Unidos",Internacional,99.26.108.135,192.168.3.238,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
ping-180880310-32877-1782266765-1239,2026-06-23 22:06:05,2026-06-23,22:06:05,Nocturna (~22:00),32877,Airtek (Maracaibo),Airtek Solutions C.A.,AS61461,"Maracaibo, Venezuela",Nacional,38.25.177.234,192.168.1.186,150.185.169.243,Intranet ULA,180880310,3,0,Sin respuesta,False,100.0,,,,,0
